iter	Passed	Remaining
401	13875	3382
402	13908	3347
403	13940	3312
404	13971	3277
405	14002	3242
406	14034	3206
407	14065	3171
408	14109	3139
409	14144	3104
410	14189	3072
411	14224	3038
412	14257	3003
413	14291	2968
414	14324	2933
415	14359	2899
416	14392	2864
417	14431	2831
418	14543	2811
419	14588	2778
420	14623	2744
421	14659	2709
422	14694	2674
423	14732	2640
424	14766	2605
425	14802	2571
426	14835	2536
427	14865	2500
428	14896	2465
429	14927	2430
430	14958	2394
431	14988	2359
432	15019	2324
433	15051	2288
434	15083	2253
435	15116	2219
436	15150	2184
437	15187	2149
438	15221	2115
439	15255	2080
440	15289	2045
441	15322	2010
442	15353	1975
443	15386	1940
444	15419	1905
445	15452	1870
446	15485	1836
447	15517	1801
448	15550	1766
449	15584	1731
450	15615	1696
451	15657	1662
452	15689	1627
453	15723	1593
454	15755	1558
455	15787	1523
456	15818	1488
457	15850	1453
458	15880	1418
459	15910	1383
460	15942	1348
461	15972	1313
462	16003	1278
463	16040	1244
464	16073	1209
465	16106	1175
466	16140	1140
467	16175	1105
468	16205	1071
469	16241	1036
470	16275	1002
471	16324	968
472	16368	934
473	16408	900
474	16446	865
475	16494	831
476	16552	798
477	16793	772
478	16853	738
479	16891	703
480	16925	668
481	16957	633
482	16990	598
483	17021	562
484	17051	527
485	17087	492
486	17124	457
487	17158	421
488	17190	386
489	17222	351
490	17254	316
491	17287	281
492	17319	245
493	17350	210
494	17381	175
495	17411	140
496	17440	105
497	17472	70
498	17502	35
499	17533	0
