iter	Logloss
0	0.6643815217
1	0.6411545365
2	0.6174252122
3	0.592191343
4	0.5697274738
5	0.5464770706
6	0.5288297159
7	0.5135171678
8	0.4981875243
9	0.4841623659
10	0.4711449941
11	0.4602027116
12	0.4469094453
13	0.4343486362
14	0.4197250649
15	0.4120005855
16	0.4017762785
17	0.3898976644
18	0.3798665647
19	0.3688817554
20	0.3619900809
21	0.3552452723
22	0.3464132238
23	0.3369167469
24	0.3303934733
25	0.3225373869
26	0.3144476149
27	0.3071854909
28	0.2990524504
29	0.2917445677
30	0.28712202
31	0.2826875404
32	0.2750913302
33	0.2700275845
34	0.2636674245
35	0.2570412247
36	0.2514250367
37	0.2465217025
38	0.2413220935
39	0.2384096428
40	0.2352831982
41	0.23169846
42	0.2276872706
43	0.2241485737
44	0.2198241375
45	0.2161228392
46	0.2134411247
47	0.2098991783
48	0.206038581
49	0.2029255761
50	0.2001923808
51	0.1973251767
52	0.1949751289
53	0.193315453
54	0.189718635
55	0.1871035894
56	0.1848121219
57	0.1829152107
58	0.1805907709
59	0.1783629523
60	0.1752856749
61	0.172569063
62	0.1703696781
63	0.1677206181
64	0.1659903703
65	0.1632251033
66	0.161118631
67	0.1597998937
68	0.1567608515
69	0.1554756165
70	0.1535986088
71	0.1510216925
72	0.149089619
73	0.1468539238
74	0.1454836528
75	0.1434269481
76	0.1416521337
77	0.1397952857
78	0.1376811133
79	0.1358878348
80	0.1341308753
81	0.1322031109
82	0.1312860206
83	0.129936545
84	0.1283604657
85	0.126676533
86	0.1253346249
87	0.1231381717
88	0.1217305219
89	0.121037598
90	0.1192439927
91	0.1172279517
92	0.1156797497
93	0.114471568
94	0.1129233042
95	0.1118101809
96	0.1102813438
97	0.1088703827
98	0.1070483349
99	0.105732335
100	0.1043315375
101	0.1036770874
102	0.1026019167
103	0.1009848913
104	0.09997221276
105	0.09924616637
106	0.09809577024
107	0.09742962873
108	0.09674300971
109	0.09555829013
110	0.09440301083
111	0.09393289354
112	0.09350479974
113	0.09233436761
114	0.09102599709
115	0.08959895593
116	0.08909968977
117	0.08825156424
118	0.08752897051
119	0.08687196838
120	0.08606800327
121	0.08550404619
122	0.08447541131
123	0.08378142781
124	0.0832758303
125	0.08216269811
126	0.08113438995
127	0.0804077431
128	0.07950806618
129	0.07866688128
130	0.07776165009
131	0.07682381736
132	0.07610268063
133	0.07509438197
134	0.07397713043
135	0.07291533329
