timestamp,open,high,low,close,volume
2024-06-20,64949.1,66444.7,64550.0,64833.3,1301.88144048
2024-06-21,64833.3,64999.9,63335.6,64087.9,1178.24286298
2024-06-22,64088.0,64442.5,63932.2,64253.0,355.67535869
2024-06-23,64253.0,64496.6,63176.0,63176.1,554.13121587
2024-06-24,63176.1,63277.8,58448.0,60297.0,3701.59188295
2024-06-25,60297.1,62364.8,60245.0,61794.0,1534.90147875
2024-06-26,61794.1,62454.4,60689.9,60815.1,827.76878602
2024-06-27,60815.2,62297.8,60580.7,61617.1,878.31549593
2024-06-28,61617.1,62100.0,59942.7,60319.6,880.35674383
2024-06-29,60319.6,61102.1,60307.7,60860.0,495.32479065
2024-06-30,60860.0,62916.3,60660.7,62680.3,819.171369
2024-07-01,62680.4,63798.9,62489.9,62858.5,1408.61107175
2024-07-02,62858.6,63168.6,61747.0,62019.9,924.08073447
2024-07-03,62020.0,62178.9,59341.6,60146.6,1615.05745394
2024-07-04,60146.6,60399.3,56777.0,57021.1,2727.52009454
2024-07-05,57031.4,57520.4,53563.3,56650.1,4102.76018281
2024-07-06,56650.1,58468.0,56028.6,58234.9,995.59225603
2024-07-07,58234.9,58396.7,55727.7,55845.4,940.57443934
2024-07-08,55845.4,58129.8,54301.3,56699.3,2283.59009877
2024-07-09,56699.3,58245.2,56325.2,58001.6,1412.64260222
2024-07-10,58001.6,59474.1,57154.1,57743.1,1511.28549023
2024-07-11,57742.1,59500.0,57075.5,57350.0,1532.40446222
2024-07-12,57350.0,58494.9,56593.3,57911.4,1135.13837554
2024-07-13,57911.5,59836.5,57784.1,59222.8,985.88672616
2024-07-14,59222.8,61373.5,59222.8,60810.0,1537.75585929
2024-07-15,60810.0,64900.0,60704.5,64764.2,2989.71251023
2024-07-16,64764.3,65416.3,62466.0,65088.7,3185.16204963
2024-07-17,65077.1,66100.3,63853.1,64120.0,1952.5629658
2024-07-18,64120.1,65097.1,63225.5,63960.7,1495.39840213
2024-07-19,63960.7,67429.0,63350.0,66708.9,2068.88597692
2024-07-20,66708.9,67612.9,66301.4,67166.1,878.57703216
2024-07-21,67166.1,68313.0,65857.0,68137.1,1510.0800522
2024-07-22,68137.2,68531.4,66600.0,67595.1,1381.72971405
2024-07-23,67595.2,67761.1,65458.8,65900.8,2538.76002268
2024-07-24,65900.8,67098.3,65134.4,65367.0,1565.37594373
2024-07-25,65360.4,66090.9,63427.5,65795.4,1783.90500659
2024-07-26,65794.2,69000.0,65755.6,67914.7,2487.78967158
2024-07-27,67914.7,69398.3,66624.3,67900.8,3068.23357372
2024-07-28,67912.9,68282.0,67090.9,68250.0,995.06551127
2024-07-29,68250.0,69985.0,66429.9,66755.3,2738.33894061
2024-07-30,66755.4,66973.7,65337.5,66175.1,1726.18820443
2024-07-31,66175.1,66799.9,64524.6,64638.1,1565.48572184
2024-08-01,64638.1,65550.0,62250.0,65300.0,2421.32198213
2024-08-02,65300.1,65500.0,61205.0,61409.9,2656.60031785
2024-08-03,61410.0,62126.7,59826.5,60688.5,2560.01992687
2024-08-04,60688.6,61040.4,57176.3,58103.0,1993.41704536
2024-08-05,58103.1,58270.3,49111.0,54006.5,10612.00555526
